AQL date,Source,Client CRM,Client country,Number of sales reps,Subscription period,PPC budget USD,Stage,Loss reason description,Closing Date
"Apr 3, 2024",Demo Request,No CRM,KZ (Kazakhstan),2,,0,Negotiations,,
"Apr 3, 2024",Inbound call,Bitrix24,KZ (Kazakhstan),3,,0,Negotiations,,
"Apr 3, 2024",Inbound call,No CRM,KZ (Kazakhstan),4,,0,Negotiations,,
"Apr 3, 2024",Partner,RealtSoft,UA (Ukraine),10,,0-500,Project set up,,
"Apr 3, 2024",Partner,No CRM,UA (Ukraine),8,90,0,Closed Won,,"Apr 3, 2024"
"Apr 3, 2024",Demo Request,Bitrix24,UA (Ukraine),20,,0-500,Trial,,
"Apr 3, 2024",Demo Request,U-ON.Travel,KZ (Kazakhstan),2,,0-500,Negotiations,,
"Apr 3, 2024",Registration,Bitrix24,KZ (Kazakhstan),5,,0,Negotiations,,
"Apr 3, 2024",Intercom,No CRM,UA (Ukraine),1,,0,Closed Lost,No responsible of the project at the moment,"Apr 3, 2024"
"Apr 3, 2024",Inbound call,No CRM,UA (Ukraine),1,,0,Negotiations,,
"Apr 3, 2024",Partner,AmoCRM,KZ (Kazakhstan),9,,0,Negotiations,,
"Apr 3, 2024",Inbound call,Creatio,UA (Ukraine),15,,0-500,Negotiations,,
"Apr 3, 2024",Partner,ZohoCRM,UA (Ukraine),1,,0-500,Negotiations,,
"Apr 2, 2024",Demo Request,No CRM,UA (Ukraine),3,,0,Closed Lost,Other,"Apr 2, 2024"
"Apr 2, 2024",Facebook PPC,No CRM,PL (Poland),3,,0-500,Negotiations,,
"Apr 2, 2024",Demo Request,No CRM,KZ (Kazakhstan),1,,0-500,Negotiations,,
"Apr 2, 2024",Registration,Custom CRM,UA (Ukraine),4,,0-500,Negotiations,,
"Apr 2, 2024",Demo Request,Salesdrive,UA (Ukraine),3,,500-1000,Closed Lost,No responsible of the project at the moment,"Apr 2, 2024"
"Apr 2, 2024",Inbound call,Bitrix24,PL (Poland),3,,0,Negotiations,,
"Apr 2, 2024",Partner,No CRM,PL (Poland),2,,0,Negotiations,,
"Apr 2, 2024",Inbound call,KeyCRM,UA (Ukraine),1,,0-500,Negotiations,,
"Apr 2, 2024",Demo Request,No CRM,UA (Ukraine),1,,0,Negotiations,,
"Apr 2, 2024",Demo Request,No CRM,IL (Israel),2,,0-500,Closed Lost,Implementing CRM,"Apr 2, 2024"
"Apr 2, 2024",Inbound call,Poster,UA (Ukraine),1,,0,Negotiations,,
